area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Plot  Area,Ready To Move,Nagasandra,4 Bedroom,,1310.0,3.0,3.0,95.0,4,7251.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1631.0,3.0,2.0,80.0,3,4904.97
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,27.5,1,5238.1
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Reodsnc,1395.0,3.0,3.0,82.0,3,5878.14
Super built-up  Area,Ready To Move,Devi Nagar,3 BHK,Krtonwe,2000.0,3.0,2.0,105.0,3,5250.0
Super built-up  Area,18-Jul,Hennur Road,2 BHK,Puachal,1232.0,2.0,1.0,66.0,2,5357.14
Super built-up  Area,Ready To Move,Virupakshapura,2 BHK,,1075.0,2.0,1.0,55.0,2,5116.28
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,MauilTr,1205.0,2.0,2.0,70.0,2,5809.13
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340.0,5.0,1.0,129.0,4,5512.82
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,Amlisai,1179.0,2.0,1.0,55.0,3,4664.97
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1013.0,2.0,1.0,51.0,2,5034.55
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1160.0,2.0,2.0,40.6,2,3500.0
Plot  Area,Ready To Move,Thyagaraja Nagar,8 Bedroom,,1275.0,6.0,2.0,290.0,8,22745.1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1200.0,2.0,2.0,62.5,2,5208.33
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1255.0,2.0,3.0,50.19,3,3999.2
Built-up  Area,Ready To Move,Richmond Town,3 BHK,,1100.0,2.0,1.0,145.0,3,13181.82
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069.0,2.0,1.0,55.0,2,5145.0
Plot  Area,Ready To Move,Kyalasanahalli,3 Bedroom,Ceonyy,1200.0,3.0,2.0,99.0,3,8250.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Inden O,1065.0,2.0,2.0,55.0,2,5164.32
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,BVeneSe,1395.0,2.0,0.0,75.0,2,5376.34
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1725.0,2.0,1.0,165.0,3,9565.22
Built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,Naenti,1007.0,2.0,2.0,43.0,2,4270.11
Built-up  Area,Ready To Move,Kengeri,3 BHK,,1436.0,2.0,2.0,55.0,3,3830.08
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645.0,3.0,2.0,117.0,3,7112.46
Plot  Area,Ready To Move,Kengeri,2 Bedroom,,1200.0,2.0,0.0,58.0,2,4833.33
Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,940.0,2.0,1.0,43.61,2,4639.36
Built-up  Area,Ready To Move,KR Puram,6 Bedroom,,4300.0,6.0,2.0,175.0,6,4069.77
Super built-up  Area,20-Dec,Hebbal,3 BHK,Cehosy,2850.0,5.0,3.0,343.0,3,12035.09
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1740.0,3.0,2.0,191.0,3,10977.01
Super built-up  Area,18-May,Haralur Road,2 BHK,,1194.0,2.0,2.0,47.0,2,3936.35
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,,3761.0,3.0,2.0,650.0,3,17282.64
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1829.0,3.0,2.0,125.0,3,6834.34
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,1800.0,4.0,3.0,178.0,4,9888.89
Super built-up  Area,Ready To Move,Austin Town,2 BHK,,1000.0,2.0,1.0,60.0,2,6000.0
Built-up  Area,Ready To Move,Venkatapura,3 Bedroom,,5720.0,3.0,0.0,350.0,3,6118.88
Plot  Area,Ready To Move,Vignana Nagar,5 Bedroom,,800.0,4.0,2.0,98.0,5,12250.0
Super built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa,675.0,1.0,1.0,15.0,2,2222.22
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Chtert,1390.0,2.0,2.0,95.0,2,6834.53
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1500.0,3.0,2.0,104.0,3,6933.33
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,2047.0,3.0,2.0,136.0,3,6643.87
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1202.0,2.0,1.0,79.0,2,6572.38
Super built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1012.0,2.0,1.0,59.0,2,5830.04
Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,2132.0,3.0,3.0,80.0,3,3752.35
Super built-up  Area,Ready To Move,Whitefield,1 BHK,,605.0,1.0,1.0,40.0,1,6611.57
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1331.0,2.0,1.0,88.0,2,6611.57
Plot  Area,18-May,Margondanahalli,2 Bedroom,,1200.0,2.0,0.0,69.0,2,5750.0
Built-up  Area,Ready To Move,Kumara Park,2 BHK,,1150.0,2.0,0.0,250.0,2,21739.13
Plot  Area,Ready To Move,Sahakara Nagar,2 Bedroom,,1200.0,2.0,1.0,136.0,2,11333.33
Built-up  Area,Ready To Move,Anand Nagar,2 Bedroom,Bebalrk,1800.0,2.0,0.0,300.0,2,16666.67
Plot  Area,Ready To Move,Kammanahalli,3 Bedroom,,600.0,2.0,1.0,50.0,3,8333.33
Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet,1280.0,2.0,2.0,49.0,3,3828.12
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007.0,2.0,1.0,62.0,2,6156.9
Super built-up  Area,18-May,Thanisandra,3 BHK,SLityee,1370.0,2.0,1.0,61.0,3,4452.55
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin,925.0,2.0,2.0,35.0,2,3783.78
Super built-up  Area,Ready To Move,TC Palaya,2 BHK,,1500.0,2.0,0.0,75.0,2,5000.0
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450.0,1.0,1.0,12.5,1,2777.78
Built-up  Area,Ready To Move,Peenya,4 Bedroom,,1200.0,4.0,1.0,140.0,4,11666.67
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1341.0,2.0,1.0,95.0,2,7084.27
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350.0,2.0,2.0,47.25,3,3500.0
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Sahtsva,992.0,2.0,1.0,60.0,2,6048.39
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,RaontWa,1163.0,2.0,2.0,68.0,2,5846.95
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ceiti I,1229.0,2.0,2.0,70.0,2,5695.69
Plot  Area,Ready To Move,Gowdanapalya,2 Bedroom,,600.0,2.0,2.0,39.0,2,6500.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee,1219.0,2.0,1.0,61.26,2,5025.43
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1525.0,2.0,2.0,99.13,3,6500.33
Super built-up  Area,20-Jun,Kasavanhalli,2 BHK,Esareap,1147.0,2.0,1.0,60.0,2,5231.04
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1412.0,2.0,3.0,88.0,3,6232.29
Plot  Area,Ready To Move,Munnekollal,9 Bedroom,,1200.0,9.0,3.0,215.0,9,17916.67
Super built-up  Area,19-Jun,Sarjapur  Road,2 BHK,,1044.0,2.0,1.0,34.77,2,3330.46
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,KohraNa,1190.0,2.0,2.0,63.0,2,5294.12
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,,1240.0,2.0,2.0,65.0,3,5241.94
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1352.0,3.0,1.0,65.0,3,4807.69
Built-up  Area,Ready To Move,Ashwathnagar,2 BHK,,1100.0,2.0,2.0,55.0,2,5000.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330.0,2.0,2.0,39.9,3,3000.0
Super built-up  Area,20-Nov,RR Layout,3 BHK,,1700.0,3.0,2.0,111.0,3,6529.41
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1355.0,2.0,1.0,67.0,2,4944.65
Super built-up  Area,18-Nov,Ramamurthy Nagar,2 BHK,Vaharvi,1200.0,2.0,1.0,46.0,2,3833.33
Super built-up  Area,Ready To Move,Kengeri,1 BHK,,400.0,2.0,1.0,25.0,1,6250.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Tiare S,1342.0,2.0,2.0,70.0,2,5216.1
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh,1615.0,3.0,2.0,50.87,3,3149.85
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,,1340.0,2.0,1.0,65.0,2,4850.75
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1200.0,2.0,1.0,54.0,2,4500.0
Built-up  Area,Ready To Move,Yeshwanthpur,1 Bedroom,,400.0,1.0,0.0,55.0,1,13750.0
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080.0,2.0,1.0,52.0,2,4814.81
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,SuanaNa,1600.0,2.0,1.0,31.0,2,1937.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prtor N,1200.0,2.0,0.0,34.0,2,2833.33
Plot  Area,17-Apr,Hennur Road,3 Bedroom,,2700.0,3.0,2.0,150.0,3,5555.56
Built-up  Area,Ready To Move,Amruthahalli,3 BHK,Pranai,1605.0,3.0,2.0,65.0,3,4049.84
Super built-up  Area,17-Sep,Ulsoor,4 BHK,,7200.0,5.0,2.0,1584.0,4,22000.0
Plot  Area,Ready To Move,Doddabommasandra,3 Bedroom,,646.0,2.0,1.0,65.0,3,10061.92
Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,Bhide P,1200.0,2.0,2.0,80.0,2,6666.67
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,900.0,2.0,0.0,49.0,2,5444.44
Built-up  Area,19-Dec,Sarjapur,3 Bedroom,,1830.0,3.0,1.0,88.0,3,4808.74
Plot  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,,690.0,4.0,1.0,83.0,5,12028.99
Built-up  Area,Ready To Move,Srirampuram,1 BHK,,650.0,1.0,3.0,500.0,1,76923.08
Plot  Area,Ready To Move,MS Pallya,5 Bedroom,,1800.0,4.0,1.0,68.0,5,3777.78
Built-up  Area,Ready To Move,Chandapura,3 BHK,,715.0,2.0,0.0,32.0,3,4475.52
Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1230.0,2.0,2.0,31.37,3,2550.41
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1065.0,2.0,1.0,42.59,2,3999.06
Plot  Area,Ready To Move,2nd Phase JP Nagar,8 Bedroom,,1350.0,8.0,2.0,185.0,8,13703.7
Plot  Area,Ready To Move,Srinagar,3 Bedroom,,1080.0,3.0,2.0,149.0,3,13796.3
Super built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,946.0,2.0,2.0,45.0,2,4756.87
Super built-up  Area,Ready To Move,Laggere,1 BHK,,1500.0,1.0,0.0,60.0,1,4000.0
Super built-up  Area,18-May,Sarjapur  Road,3 BHK,PualeSk,1711.0,3.0,1.0,110.0,3,6428.99
Plot  Area,Ready To Move,Attur Layout,4 Bedroom,,1200.0,3.0,2.0,160.0,4,13333.33
Super built-up  Area,18-Aug,Chandapura,2 BHK,SuVue S,950.0,2.0,1.0,25.65,2,2700.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1656.0,3.0,2.0,80.0,3,4830.92
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Ayaya A,1075.0,2.0,1.0,46.76,2,4349.77
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1752.12,3.0,2.0,133.0,3,7590.8
Plot  Area,Ready To Move,Hebbal,8 Bedroom,,6000.0,8.0,0.0,220.0,8,3666.67
Super built-up  Area,Ready To Move,Kaverappa Layout,3 BHK,,1540.0,3.0,3.0,85.0,3,5519.48
Plot  Area,Ready To Move,6th Phase JP Nagar,4 Bedroom,,600.0,4.0,3.0,125.0,4,20833.33
Super built-up  Area,Ready To Move,LB Shastri Nagar,1 BHK,Ciisera,665.0,1.0,2.0,32.0,1,4812.03
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,,1665.0,3.0,2.0,110.0,3,6606.61
Super built-up  Area,18-Mar,Electronics City Phase 1,2 BHK,Shitt S,1145.0,2.0,1.0,54.0,2,4716.16
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1185.0,2.0,2.0,41.0,2,3459.92
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,,1200.0,3.0,1.0,190.0,3,15833.33
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Duals P,1693.0,3.0,2.0,125.0,3,7383.34
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,Toiasle,2456.0,3.0,3.0,220.0,3,8957.65
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2559.0,3.0,2.0,403.0,3,15748.34
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155.0,2.0,1.0,40.6,2,3515.15
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,,1610.0,2.0,2.0,64.4,3,4000.0
Plot  Area,18-Nov,Whitefield,3 Bedroom,,1200.0,3.0,2.0,56.58,3,4715.0
Plot  Area,Ready To Move,Anjana Nagar,2 Bedroom,,1530.0,2.0,1.0,185.0,2,12091.5
Built-up  Area,Ready To Move,EPIP Zone,3 BHK,,1709.0,3.0,1.0,80.0,3,4681.1
Plot  Area,Ready To Move,Amruthahalli,4 Bedroom,,600.0,4.0,0.0,60.0,4,10000.0
Plot  Area,Ready To Move,Brookefield,8 Bedroom,,2700.0,8.0,2.0,290.0,8,10740.74
Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1400.0,2.0,1.0,50.0,3,3571.43
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Thisea,1200.0,2.0,1.0,42.0,2,3500.0
Super built-up  Area,Ready To Move,Janatha Colony,3 BHK,SGllaav,1439.0,3.0,1.0,57.23,3,3977.07
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1375.0,2.0,2.0,72.0,2,5236.36
Plot  Area,Ready To Move,BTM 2nd Stage,5 Bedroom,,2990.0,5.0,3.0,416.0,5,13913.04
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1200.0,2.0,1.0,75.0,3,6250.0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315.0,2.0,3.0,75.0,2,5703.42
Plot  Area,18-Mar,Dommasandra,2 Bedroom,,1500.0,2.0,0.0,40.0,2,2666.67
Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,,3600.0,6.0,1.0,200.0,6,5555.56
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Rancy R,1178.0,2.0,3.0,82.0,2,6960.95
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1430.0,3.0,2.0,59.0,3,4125.87
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei,1400.0,2.0,2.0,65.8,3,4700.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy,1093.0,2.0,2.0,72.0,2,6587.37
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Bhave E,1200.0,2.0,1.0,45.0,2,3750.0
Plot  Area,Ready To Move,Magadi Road,5 Bedroom,,5000.0,6.0,1.0,360.0,5,7200.0
Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,Bhsic C,1200.0,2.0,0.0,130.0,3,10833.33
Built-up  Area,18-Apr,Whitefield,3 BHK,,2210.0,3.0,2.0,156.0,3,7058.82
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Revane,1150.0,2.0,2.0,70.0,2,6086.96
Super built-up  Area,Ready To Move,Silk Board,3 BHK,,1435.0,2.0,1.0,60.0,3,4181.18
Plot  Area,Ready To Move,Mathikere,4 Bedroom,,600.0,3.0,2.0,100.0,4,16666.67
Super built-up  Area,20-Dec,Whitefield,2 BHK,Oreldhi,1173.0,2.0,1.0,78.2,2,6666.67
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1140.0,2.0,1.0,39.0,2,3421.05
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,1717.0,3.0,3.0,120.0,3,6988.93
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse,1325.0,2.0,2.0,65.0,2,4905.66
Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr,1370.0,3.0,2.0,67.0,3,4890.51
Super built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,,1409.0,2.0,3.0,62.0,3,4400.28
Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1200.0,2.0,1.0,52.0,2,4333.33
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,NRtesnd,1200.0,2.0,1.0,53.5,2,4458.33
Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,1740.0,4.0,3.0,130.0,3,7471.26
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232.0,2.0,1.0,88.0,2,7142.86
Plot  Area,18-Nov,Chandapura,2 Bedroom,,1200.0,2.0,1.0,36.0,2,3000.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Toindls,5924.0,4.0,3.0,625.0,4,10550.3
Super built-up  Area,Ready To Move,Veersandra,2 BHK,Shnto F,1250.0,2.0,1.0,50.0,2,4000.0
Built-up  Area,Ready To Move,Munivenkatppa Layout,2 BHK,SNiew L,1475.0,2.0,2.0,171.0,2,11593.22
Super built-up  Area,Ready To Move,Bommanahalli,4 BHK,Alarke,2100.0,4.0,2.0,85.0,4,4047.62
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,,552.0,1.0,1.0,23.5,1,4257.25
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1065.0,2.0,2.0,42.59,3,3999.06
Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,,1225.0,2.0,0.0,65.0,2,5306.12
Built-up  Area,Ready To Move,Harsha Layout,1 BHK,,650.0,1.0,0.0,16.0,1,2461.54
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Gancy P,1067.0,2.0,2.0,52.0,2,4873.48
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Sondaka,1364.0,2.0,2.0,56.0,3,4105.57
Super built-up  Area,Ready To Move,Tata Nagar,3 BHK,,1750.0,3.0,3.0,75.0,3,4285.71
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1240.0,2.0,1.0,71.0,2,5725.81
Plot  Area,Ready To Move,Hulimavu,2 Bedroom,,1200.0,2.0,0.0,75.0,2,6250.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1540.0,3.0,2.0,75.0,3,4870.13
Super built-up  Area,Ready To Move,Sathya Layout,3 BHK,NChtsun,1504.0,2.0,2.0,102.0,3,6781.91
Super built-up  Area,Ready To Move,New Thippasandra,2 BHK,,1116.0,2.0,1.0,49.8,2,4462.37
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2365.0,4.0,2.0,175.0,3,7399.58
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1308.0,2.0,2.0,37.0,2,2828.75
Built-up  Area,Ready To Move,Vijayanagar,2 BHK,,864.0,2.0,0.0,45.0,2,5208.33
Plot  Area,Ready To Move,Vidyaranyapura,5 Bedroom,,1200.0,5.0,1.0,139.0,5,11583.33
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Sohti S,1069.0,2.0,2.0,38.0,3,3554.72
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1333.0,2.0,1.0,100.0,2,7501.88
Super built-up  Area,Ready To Move,Chennammana Kere,4 BHK,,1800.0,4.0,1.0,145.0,4,8055.56
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,6136.0,4.0,2.0,550.0,4,8963.49
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya,1698.0,3.0,2.0,107.0,3,6301.53
Super built-up  Area,18-Jun,JP Nagar,3 BHK,,1275.0,2.0,2.0,43.6,3,3419.61
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Avlls H,1060.0,2.0,1.0,48.0,2,4528.3
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1160.0,2.0,1.0,49.0,2,4224.14
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Arldsyo,1484.0,2.0,2.0,65.0,3,4380.05
Plot  Area,Ready To Move,Hosa Road,3 Bedroom,,675.0,3.0,1.0,70.0,3,10370.37
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1310.0,2.0,1.0,66.0,2,5038.17
Plot  Area,Ready To Move,Vijayanagar,6 Bedroom,,1806.0,6.0,1.0,370.0,6,20487.26
Super built-up  Area,Ready To Move,Shanti Nagar,4 BHK,HViesar,3000.0,4.0,2.0,240.0,4,8000.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145.0,3.0,2.0,165.0,3,7692.31
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Duals P,1693.0,3.0,1.0,125.0,3,7383.34
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1230.0,3.0,3.0,60.0,3,4878.05
Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,,1310.0,2.0,1.0,37.83,3,2887.79
Super built-up  Area,Ready To Move,Tigalarpalya,2 BHK,,1150.0,2.0,1.0,60.0,2,5217.39
Super built-up  Area,18-Apr,Munnekollal,3 BHK,Sadhii,1385.0,2.0,2.0,66.5,3,4801.44
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Redarav,1066.0,2.0,2.0,52.5,2,4924.95
Super built-up  Area,19-Dec,Thanisandra,3 BHK,DSity S,2293.0,3.0,2.0,80.26,3,3500.22
Plot  Area,Ready To Move,Tindlu,3 Bedroom,,720.0,3.0,1.0,81.0,3,11250.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246.0,2.0,1.0,67.4,2,5409.31
Plot  Area,Ready To Move,Vijayanagar,4 Bedroom,,2100.0,6.0,1.0,252.0,4,12000.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,,3900.0,6.0,2.0,195.0,6,5000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Axdam V,1000.0,2.0,1.0,70.65,2,7065.0
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,MYncysi,907.0,2.0,2.0,38.0,2,4189.64
Plot  Area,Ready To Move,Ulsoor,4 Bedroom,,3500.0,4.0,0.0,138.0,4,3942.86
Super built-up  Area,Ready To Move,Varthur,3 BHK,Vaensia,1395.0,2.0,3.0,79.0,3,5663.08
Super built-up  Area,Ready To Move,Kumbena Agrahara,2 BHK,Shont F,1180.0,2.0,2.0,50.0,2,4237.29
Plot  Area,Ready To Move,Banaswadi,5 Bedroom,,1903.0,6.0,2.0,140.0,5,7356.81
Super built-up  Area,18-Mar,Electronic City,2 BHK,,1175.0,2.0,1.0,47.0,2,4000.0
Super built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,,1272.0,2.0,2.0,51.5,2,4048.74
Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,MadorSp,1490.0,2.0,1.0,92.0,3,6174.5
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1144.0,2.0,2.0,67.0,2,5856.64
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SLtraks,1143.0,2.0,1.0,53.0,2,4636.92
Plot  Area,Ready To Move,Karuna Nagar,3 Bedroom,CoinoCu,2500.0,3.0,2.0,190.0,3,7600.0
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216.0,2.0,1.0,75.0,2,6167.76
Super built-up  Area,17-Jun,Nallurhalli,2 BHK,Mauil T,1044.0,2.0,1.0,60.0,2,5747.13
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352.0,3.0,1.0,93.0,2,6878.7
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1552.0,3.0,3.0,75.0,3,4832.47
Built-up  Area,Ready To Move,Bellandur,3 BHK,Krala D,1785.0,3.0,2.0,120.0,3,6722.69
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,810.0,2.0,2.0,34.5,2,4259.26
Super built-up  Area,18-May,Banashankari Stage V,3 BHK,Naiewre,1650.0,3.0,2.0,51.98,3,3150.3
Super built-up  Area,Ready To Move,Akshayanagara East,3 BHK,,1595.0,3.0,2.0,70.39,3,4413.17
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1060.0,2.0,1.0,35.0,2,3301.89
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1410.0,2.0,3.0,65.0,3,4609.93
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1523.0,2.0,2.0,56.0,3,3676.95
Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1591.0,3.0,1.0,122.0,3,7668.13
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1640.0,3.0,3.0,84.0,3,5121.95
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,450.0,1.0,0.0,16.0,1,3555.56
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Amarere,1305.0,2.0,2.0,60.0,3,4597.7
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1590.0,3.0,1.0,54.0,3,3396.23
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Frowsru,1240.0,2.0,3.0,45.0,2,3629.03
Super built-up  Area,Ready To Move,MCECHS  layout,2 BHK,,1200.0,2.0,2.0,54.0,2,4500.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100.0,2.0,1.0,41.16,2,3741.82
Super built-up  Area,Ready To Move,Koramangala,2 BHK,K ncy R,1180.0,2.0,1.0,128.0,2,10847.46
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115.0,2.0,1.0,50.0,2,4484.3
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845.0,2.0,1.0,33.0,2,3905.33
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 BHK,,1567.2,2.0,0.0,190.0,3,12123.53
Super built-up  Area,Ready To Move,Channasandra,3 BHK,Unm 2El,1310.0,2.0,2.0,45.0,3,3435.11
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,26136.0,1.0,0.0,150.0,1,573.92
Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,,959.0,2.0,1.0,42.5,2,4431.7
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,1200.0,4.0,1.0,140.0,4,11666.67
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht,883.0,2.0,1.0,37.0,2,4190.26
